Commodity	Contract_Type	Delivery_Month	Delivery_Year	Strike_Price	Business_Date	Match_Time	Price_Indicator	Price	Message_Code	Amend_Code	Volume
CWF	F	J	2023	0000000	20230315	200900	 	0000017750	Y	D	00005
CWF	F	J	2023	0000000	20230315	200900	 	0000017750	Y	D	00005
PVF	F	J	2023	0000000	20230315	005300	 	0000016850	Y	D	00010
PWF	F	J	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	J	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	J	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	K	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	K	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	K	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	M	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	M	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	M	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	N	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	N	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	N	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	Q	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	Q	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	Q	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	U	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	U	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
PWF	F	U	2023	0000000	20230315	163555	 	0000017500	Y	D	00005
