Commodity	Contract_Type	Delivery_Month	Delivery_Year	Strike_Price	Business_Date	Match_Time	Price_Indicator	Price	Message_Code	Amend_Code	Volume
FEF	F	J	2023	0000000	20230317	100955	 	0000012905	Y	D	00050
FEF	F	J	2023	0000000	20230317	113904	 	0000012770	Y	D	00050
FEF	F	J	2023	0000000	20230317	181310	 	0000013100	Y	D	00050
FEF	F	J	2023	0000000	20230317	181310	 	0000013100	Y	D	00050
PVF	F	J	2023	0000000	20230317	001500	 	0000015750	Y	D	00015
PVF	F	J	2023	0000000	20230317	001500	 	0000015750	Y	D	00015
PVF	F	J	2023	0000000	20230317	001700	 	0000016350	Y	D	00015
PVF	F	K	2023	0000000	20230317	001500	 	0000015750	Y	D	00015
PVF	F	K	2023	0000000	20230317	001500	 	0000015750	Y	D	00015
PVF	F	M	2023	0000000	20230317	001500	 	0000015750	Y	D	00015
PVF	F	M	2023	0000000	20230317	001500	 	0000015750	Y	D	00015
PVF	F	M	2023	0000000	20230317	163900	 	0000015700	Y	D	00005
PVF	F	M	2023	0000000	20230317	163900	 	0000015700	Y	D	00005
PVF	F	M	2023	0000000	20230317	163900	 	0000017700	Y	D	00005
PVF	F	M	2023	0000000	20230317	163900	 	0000017700	Y	D	00005
PVF	F	N	2023	0000000	20230317	175200	 	0000016500	Y	D	00005
PVF	F	Q	2023	0000000	20230317	175200	 	0000016500	Y	D	00005
PVF	F	U	2023	0000000	20230317	175200	 	0000016500	Y	D	00005
SWF	F	M	2023	0000000	20230317	163900	 	0000015500	Y	D	00005
SWF	F	M	2023	0000000	20230317	163900	 	0000015500	Y	D	00005
SWF	F	M	2023	0000000	20230317	163900	 	0000017500	Y	D	00005
SWF	F	M	2023	0000000	20230317	163900	 	0000017500	Y	D	00005
